sid,did,scode,name,paddress,address,phone,email,cby,cdate,time,edate
175,27,2,BUNGU,BUNGU,P.O.Box 542501,718988234,bungu@tag.or.tz,1,2019-01-01,12:26:00,19/05/2015 12:26
176,27,3,HALE,HALE,P.O.Box 542503,718988236,hale@tag.or.tz,1,2019-01-01,12:27:00,19/05/2015 12:27
177,27,4,KOROGWE MJI,KOROGWE MJI,P.O.Box 542505,718988238,korogwe mji@tag.or.tz,1,2019-01-01,12:32:00,19/05/2015 12:32
178,27,5,LUSHOTO,LUSHOTO,P.O.Box 542507,718988240,lushoto@tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
179,27,6,MAGOMA,MAGOMA,P.O.Box 542509,718988242,magoma@tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
180,27,7,MLALO,MLALO,P.O.Box 542511,718988244,mlalo@tag.or.tz,1,2019-01-01,12:34:00,19/05/2015 12:34
181,27,8,MOMBO,MOMBO,P.O.Box 542513,718988246,mombo@tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
182,27,9,UMBA,UMBA,P.O.Box 542515,718988248,umba@tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
183,28,9,HANDENI ,HANDENI ,P.O.Box 542517,718988250,handeni @tag.or.tz,1,2019-01-01,12:36:00,19/05/2015 12:36
184,28,10,KABUKU ,KABUKU ,P.O.Box 542519,718988252,kabuku @tag.or.tz,1,2019-01-01,12:37:00,19/05/2015 12:37
185,28,12,KANG'ATA ,KANG'ATA ,P.O.Box 542521,718988254,kang'ata @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
186,28,11,KIKUNDE ,KIKUNDE ,P.O.Box 542523,718988256,kikunde @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
187,28,1,KILINDI ,KILINDI ,P.O.Box 542525,718988258,kilindi @tag.or.tz,1,2019-01-01,11:12:00,19/05/2015 10:14
188,28,2,KIMBE KASKAZINI ,KIMBE KASKAZINI ,P.O.Box 542527,718988260,kimbe kaskazini @tag.or.tz,1,2019-01-01,18:07:00,19/05/2012 18:07
189,28,3,KIMBE KUSINI ,KIMBE KUSINI ,P.O.Box 542529,718988262,kimbe kusini @tag.or.tz,1,2019-01-01,10:15:00,19/05/2015 10:15
190,28,5,KWEKIVU ,KWEKIVU ,P.O.Box 542531,718988264,kwekivu @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
191,28,4,MGERA ,MGERA ,P.O.Box 542533,718988266,mgera @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
192,28,6,MKATA ,MKATA ,P.O.Box 542535,718988268,mkata @tag.or.tz,1,2019-01-01,10:17:00,19/05/2015 10:17
193,28,7,MSWAKI ,MSWAKI ,P.O.Box 542537,718988270,mswaki @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
194,28,8,SEGERA ,SEGERA ,P.O.Box 542539,718988272,segera @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
195,29,1,JITEGEMEE,JITEGEMEE,P.O.Box 542541,718988274,jitegemee@tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
196,29,2,MAJENGO,MAJENGO,P.O.Box 542543,718988276,majengo@tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
197,29,3,MKINGA,MKINGA,P.O.Box 542545,718988278,mkinga@tag.or.tz,1,2019-01-01,12:01:00,19/05/2015 12:01
198,29,4,MKWAKWANI,MKWAKWANI,P.O.Box 542547,718988280,mkwakwani@tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
199,29,5,NGAMIANI,NGAMIANI,P.O.Box 542549,718988282,ngamiani@tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
200,29,6,PANGANI,PANGANI,P.O.Box 542551,718988284,pangani@tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
201,30,1,ZANZIBAR KASKAZINI ,ZANZIBAR KASKAZINI ,P.O.Box 542553,718988286,zanzibar kaskazini @tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
202,30,2,ZANZIBAR MAGHARIBI ,ZANZIBAR MAGHARIBI ,P.O.Box 542555,718988288,zanzibar magharibi @tag.or.tz,1,2019-01-01,12:04:00,19/05/2015 12:04
203,31,1,BASSODAWISH ,BASSODAWISH,P.O.BOX 542557,718988290,bassodawish@tag.or.tz,1,2019-01-01,12:06:00,15/07/2020 06:09
204,31,2,BONDE LA UFA,BONDE LA UFA,P.O.Box 542559,718988292,bonde la ufa@tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
205,31,3,DIGODIGO ,DIGODIGO ,P.O.Box 542561,718988294,digodigo @tag.or.tz,1,2019-01-01,12:07:00,19/05/2015 12:07
206,31,4,ENDABASH ,ENDABASH ,P.O.Box 542563,718988296,endabash @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
207,31,5,EYASI ,EYASI ,P.O.Box 542565,718988298,eyasi @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
208,31,7,KARATU ,KARATU ,P.O.Box 542567,718988300,karatu @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
209,31,6,LOLIONDO ,LOLIONDO ,P.O.Box 542569,718988302,loliondo @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
210,31,8,MANG'OLA ,MANG'OLA ,P.O.Box 542571,718988304,mang'ola @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:25
211,31,9,MBULUMBULU ,MBULUMBULU ,P.O.Box 542573,718988306,mbulumbulu @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:26
212,31,10,NGORONGORO ,NGORONGORO ,P.O.Box 542575,718988308,ngorongoro @tag.or.tz,1,2019-01-01,12:26:00,19/05/2015 12:26
213,31,11,OLDEAN ,OLDEAN ,P.O.Box 542577,718988310,oldean @tag.or.tz,1,2019-01-01,12:27:00,19/05/2015 12:27
214,31,12,SALE ,SALE ,P.O.Box 542579,718988312,sale @tag.or.tz,1,2019-01-01,12:32:00,19/05/2015 12:32
215,31,13,SOITSAMBU ,SOITSAMBU ,P.O.Box 542581,718988314,soitsambu @tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
216,32,11,ARUSHA  AIRPORT ,ARUSHA  AIRPORT ,P.O.Box 542583,718988316,arusha  airport @tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
217,32,12,ARUSHA CITY ,ARUSHA CITY ,P.O.Box 542585,718988318,arusha city @tag.or.tz,1,2019-01-01,12:34:00,19/05/2015 12:34
218,32,14,ARUSHA MAGHARIBI ,ARUSHA MAGHARIBI ,P.O.Box 542587,718988320,arusha magharibi @tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
219,32,13,ARUSHA MASHARIKI ,ARUSHA MASHARIKI ,P.O.Box 542589,718988322,arusha mashariki @tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
220,32,15,ARUSHA MJINI ,ARUSHA MJINI ,P.O.Box 542591,718988324,arusha mjini @tag.or.tz,1,2019-01-01,12:36:00,19/05/2015 12:36
221,32,16,KIMANDOLU ,KIMANDOLU ,P.O.Box 542593,718988326,kimandolu @tag.or.tz,1,2019-01-01,12:37:00,19/05/2015 12:37
222,32,18,KING'ORI ,KING'ORI ,P.O.Box 542595,718988328,king'ori @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
223,32,17,KIOGA ,KIOGA ,P.O.Box 542597,718988330,kioga @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
224,32,1,KISONGO ,KISONGO ,P.O.Box 542599,718988332,kisongo @tag.or.tz,1,2019-01-01,11:12:00,19/05/2015 10:14
225,32,2,LONGIDO ,LONGIDO ,P.O.Box 542601,718988334,longido @tag.or.tz,1,2019-01-01,18:07:00,19/05/2012 18:07
226,32,3,MAKUYUNI ,MAKUYUNI ,P.O.Box 542603,718988336,makuyuni @tag.or.tz,1,2019-01-01,10:15:00,19/05/2015 10:15
227,32,5,MERU KUSINI ,MERU KUSINI ,P.O.Box 542605,718988338,meru kusini @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
228,32,4,MONDULI ,MONDULI ,P.O.Box 542607,718988340,monduli @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
229,32,6,NGARAMTONI ,NGARAMTONI ,P.O.Box 542609,718988342,ngaramtoni @tag.or.tz,1,2019-01-01,10:17:00,19/05/2015 10:17
230,32,8,OLDONYOSAMBU ,OLDONYOSAMBU ,P.O.Box 542611,718988344,oldonyosambu @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
231,32,7,OLJORO ,OLJORO ,P.O.Box 542613,718988346,oljoro @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
232,32,9,TENGERU ,TENGERU ,P.O.Box 542615,718988348,tengeru @tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
233,32,10,USA RIVER ,USA RIVER ,P.O.Box 542617,718988350,usa river @tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
234,33,1,MWANGA MAGHARIBI,MWANGA MAGHARIBI,P.O.Box 542619,718988352,mwanga magharibi@tag.or.tz,1,2019-01-01,12:01:00,19/05/2015 12:01
235,33,2,MWANGA MASHARIKI ,MWANGA MASHARIKI ,P.O.Box 542621,718988354,mwanga mashariki @tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
236,33,3,SAME MAGHARIKI,SAME MAGHARIKI,P.O.Box 542623,718988356,same maghariki@tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
237,33,4,SAME MASHARIKI,SAME MASHARIKI,P.O.Box 542625,718988358,same mashariki@tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
238,34,1,HAI ,HAI ,P.O.Box 542627,718988360,hai @tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
239,34,2,KIBOSHO ,KIBOSHO ,P.O.Box 542629,718988362,kibosho @tag.or.tz,1,2019-01-01,12:04:00,19/05/2015 12:04
240,34,3,MASAMA ,MASAMA ,P.O.Box 542631,718988364,masama @tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
241,34,4,MOSHI KASKAZINI ,MOSHI KASKAZINI ,P.O.Box 542633,718988366,moshi kaskazini @tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
242,34,5,MOSHI KATI ,MOSHI KATI ,P.O.Box 542635,718988368,moshi kati @tag.or.tz,1,2019-01-01,12:07:00,19/05/2015 12:07
243,34,7,MOSHI KUSINI ,MOSHI KUSINI ,P.O.Box 542637,718988370,moshi kusini @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
244,34,6,MOSHI MAGHARIBI ,MOSHI MAGHARIBI ,P.O.Box 542639,718988372,moshi magharibi @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
245,34,8,MOSHI MASHARIKI ,MOSHI MASHARIKI ,P.O.Box 542641,718988374,moshi mashariki @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
246,34,9,MOSHI TPC ,MOSHI TPC ,P.O.Box 542643,718988376,moshi tpc @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
247,34,10,SIHA KASKAZINI,SIHA ,P.O.BOX 542645,718988378,siha@tag.or.tz,1,2019-01-01,12:25:00,22/07/2022 11:42
248,35,1,ROMBO KASKAZINI ,ROMBO KASKAZINI ,P.O.Box 542647,718988380,rombo kaskazini @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:26
249,35,2,ROMBO KUSINI ,ROMBO KUSINI ,P.O.Box 542649,718988382,rombo kusini @tag.or.tz,1,2019-01-01,12:26:00,19/05/2015 12:26
250,35,3,VUNJO MAGHARIBI ,VUNJO MAGHARIBI ,P.O.Box 542651,718988384,vunjo magharibi @tag.or.tz,1,2019-01-01,12:27:00,19/05/2015 12:27
251,35,4,VUNJO MASHARIKI ,VUNJO MASHARIKI ,P.O.Box 542653,718988386,vunjo mashariki @tag.or.tz,1,2019-01-01,12:32:00,19/05/2015 12:32
252,36,1,DOSIDOSI ,DOSIDOSI ,P.O.Box 542655,718988388,dosidosi @tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
253,36,2,KIBAYA KITETO ,KIBAYA KITETO ,P.O.Box 542657,718988390,kibaya kiteto @tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
254,36,3,MATUI ,MATUI ,P.O.Box 542659,718988392,matui @tag.or.tz,1,2019-01-01,12:34:00,19/05/2015 12:34
255,36,4,NJORO ,NJORO ,P.O.Box 542661,718988394,njoro @tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
256,36,5,SULEDO ,SULEDO ,P.O.Box 542663,718988396,suledo @tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
257,37,12,BABATI KASKAZINI ,BABATI KASKAZINI ,P.O.Box 542665,718988398,babati kaskazini @tag.or.tz,1,2019-01-01,12:36:00,19/05/2015 12:36
258,37,13,BABATI KUSINI ,BABATI KUSINI ,P.O.Box 542667,718988400,babati kusini @tag.or.tz,1,2019-01-01,12:37:00,19/05/2015 12:37
259,37,15,BABATI MAGHARIBI ,BABATI MAGHARIBI ,P.O.Box 542669,718988402,babati magharibi @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
260,37,14,BABATI MASHARIKI ,BABATI MASHARIKI ,P.O.Box 542671,718988404,babati mashariki @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
261,37,1,BABATI MJINI ,BABATI MJINI ,P.O.Box 542673,718988406,babati mjini @tag.or.tz,1,2019-01-01,11:12:00,19/05/2015 10:14
262,37,2,BASHNET MAGHARIBI ,BASHNET MAGHARIBI ,P.O.Box 542675,718988408,bashnet magharibi @tag.or.tz,1,2019-01-01,18:07:00,19/05/2012 18:07
263,37,3,BASHNET MASHARIKI ,BASHNET MASHARIKI ,P.O.Box 542677,718988410,bashnet mashariki @tag.or.tz,1,2019-01-01,10:15:00,19/05/2015 10:15
264,37,5,HANANG KUSINI ,HANANG KUSINI ,P.O.Box 542679,718988412,hanang kusini @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
265,37,4,HANANG MAGHARIBI ,HANANG MAGHARIBI ,P.O.Box 542681,718988414,hanang magharibi @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
266,37,6,HANANG MASHARIKI ,HANANG MASHARIKI ,P.O.Box 542683,718988416,hanang mashariki @tag.or.tz,1,2019-01-01,10:17:00,19/05/2015 10:17
267,37,8,KATESH ,KATESH ,P.O.Box 542685,718988418,katesh @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
268,37,7,KIRU ,KIRU ,P.O.Box 542687,718988420,kiru @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
269,37,9,MAGUGU KASKAZINI ,MAGUGU KASKAZINI ,P.O.Box 542689,718988422,magugu kaskazini @tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
270,37,10,MAGUGU KUSINI ,MAGUGU KUSINI ,P.O.Box 542691,718988424,magugu kusini @tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
271,37,11,SIMBAY ,SIMBAY ,P.O.Box 542693,718988426,simbay @tag.or.tz,1,2019-01-01,12:01:00,19/05/2015 12:01
272,38,1,DAUDI,DAUDI,P.O.Box 542695,718988428,daudi@tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
273,38,2,DINAMU ,DINAMU ,P.O.Box 542697,718988430,dinamu @tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
274,38,3,DONGOBESH ,DONGOBESH ,P.O.Box 542699,718988432,dongobesh @tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
275,38,4,HAYDOM ,HAYDOM ,P.O.Box 542701,718988434,haydom @tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
276,38,5,IMBORU ,IMBORU ,P.O.Box 542703,718988436,imboru @tag.or.tz,1,2019-01-01,12:04:00,19/05/2015 12:04
277,38,7,LABAY ,LABAY ,P.O.Box 542705,718988438,labay @tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
278,38,6,MASIEDA,MASIEDA,P.O.Box 542707,718988440,masieda@tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
279,38,8,MASQAREDA,MASQAREDA,P.O.Box 542709,718988442,masqareda@tag.or.tz,1,2019-01-01,12:07:00,19/05/2015 12:07
280,38,9,MBULU MJINI ,MBULU MJINI ,P.O.Box 542711,718988444,mbulu mjini @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
281,38,10,NAMBIS ,NAMBIS ,P.O.Box 542713,718988446,nambis @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
282,38,11,SOHEDA ,SOHEDA ,P.O.Box 542715,718988448,soheda @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
283,38,12,TITIWI ,TITIWI ,P.O.Box 542717,718988450,titiwi @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
284,38,13,YAEDA CHINI ,YAEDA CHINI ,P.O.Box 542719,718988452,yaeda chini @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:25
285,39,1,EMBORET ,EMBORET ,P.O.Box 542721,718988454,emboret @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:26
286,39,2,MERERANI ,MERERANI ,P.O.Box 542723,718988456,mererani @tag.or.tz,1,2019-01-01,12:26:00,19/05/2015 12:26
287,39,3,NABERERA ,NABERERA ,P.O.Box 542725,718988458,naberera @tag.or.tz,1,2019-01-01,12:27:00,19/05/2015 12:27
288,39,4,NGAGE ,NGAGE ,P.O.Box 542727,718988460,ngage @tag.or.tz,1,2019-01-01,12:32:00,19/05/2015 12:32
289,39,5,NYUMBA YA MUNGU ,NYUMBA YA MUNGU ,P.O.Box 542729,718988462,nyumba ya mungu @tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
290,39,6,ORKESUMET ,ORKESUMET ,P.O.Box 542731,718988464,orkesumet @tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
291,39,7,TERAT ,TERAT ,P.O.Box 542733,718988466,terat @tag.or.tz,1,2019-01-01,12:34:00,19/05/2015 12:34
292,40,1,GEZAULOLE,GEZAULOLE,P.O.Box 542735,718988468,gezaulole@tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
293,40,2,KIMBIJI,KIMBIJI,P.O.Box 542737,718988470,kimbiji@tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
294,40,3,MJI MWEMA,MJI MWEMA,P.O.Box 542739,718988472,mji mwema@tag.or.tz,1,2019-01-01,12:36:00,19/05/2015 12:36
295,40,4,MWASONGA,MWASONGA,P.O.BOX 542741,718988474,mwasonga@tag.or.tz,1,2019-01-01,12:37:00,20/07/2020 11:23
296,40,5,TOANGOMA,TOANGOMA,P.O.Box 542743,718988476,toangoma@tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
297,41,3,LIWALE,LIWALE,P.O.Box 542745,718988478,liwale@tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
298,41,1,NACHINGWEA ,NACHINGWEA ,P.O.Box 542747,718988480,nachingwea @tag.or.tz,1,2019-01-01,11:12:00,19/05/2015 10:14
299,41,2,RUANGWA ,RUANGWA ,P.O.Box 542749,718988482,ruangwa @tag.or.tz,1,2019-01-01,18:07:00,19/05/2012 18:07
300,42,1,KILWA KASKAZINI,KILWA KASKAZINI,P.O.Box 542751,718988484,kilwa kaskazini@tag.or.tz,1,2019-01-01,10:15:00,19/05/2015 10:15
301,42,2,KILWA KUSINI,KILWA KUSINI,P.O.Box 542753,718988486,kilwa kusini@tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
302,42,3,LINDI MJINI,LINDI MJINI,P.O.Box 542755,718988488,lindi mjini@tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
303,42,4,LINDI VIJIJINI,LINDI VIJIJINI,P.O.Box 542757,718988490,lindi vijijini@tag.or.tz,1,2019-01-01,10:17:00,19/05/2015 10:17
304,43,1,KIMARA KASKAZINI,KIMARA KASKAZINI,P.O.Box 542759,718988492,kimara kaskazini@tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
305,43,2,KIMARA KUSINI,KIMARA KUSINI,P.O.Box 542761,718988494,kimara kusini@tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
306,43,3,KINONDONI,KINONDONI,P.O.Box 542763,718988496,kinondoni@tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
307,43,4,MAGOMENI,MAGOMENI,P.O.Box 542765,718988498,magomeni@tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
308,43,5,MBEZI,MBEZI,P.O.Box 542767,718988500,mbezi@tag.or.tz,1,2019-01-01,12:01:00,19/05/2015 12:01
309,44,1,AIRPORT ,AIRPORT ,P.O.Box 542769,718988502,airport @tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
310,44,2,BONYOKWA ,BONYOKWA ,P.O.Box 542771,718988504,bonyokwa @tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
311,44,3,BUYUNI ,BUYUNI ,P.O.Box 542773,718988506,buyuni @tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
312,44,4,CHANIKA ,CHANIKA ,P.O.Box 542775,718988508,chanika @tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
313,44,5,CHOLE ,CHOLE ,P.O.Box 542777,718988510,chole @tag.or.tz,1,2019-01-01,12:04:00,19/05/2015 12:04
314,44,7,HOMBOZA ,HOMBOZA ,P.O.Box 542779,718988512,homboza @tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
315,44,6,ILALA ,ILALA ,P.O.Box 542781,718988514,ilala @tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
316,44,8,KIBUTA ,KIBUTA ,P.O.Box 542783,718988516,kibuta @tag.or.tz,1,2019-01-01,12:07:00,19/05/2015 12:07
317,44,9,KINYEREZI ,KINYEREZI ,P.O.Box 542785,718988518,kinyerezi @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
318,44,10,KISARAWE ,KISARAWE ,P.O.Box 542787,718988520,kisarawe @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
319,44,12,KITUNDA ,KITUNDA ,P.O.Box 542789,718988522,kitunda @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
320,44,11,KIVULE ,KIVULE ,P.O.Box 542791,718988524,kivule @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
321,44,13,MAJOHE ,MAJOHE ,P.O.Box 542793,718988526,majohe @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:25
322,44,14,MANEROMANGO ,MANEROMANGO ,P.O.Box 542795,718988528,maneromango @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:26
323,44,15,MASAKI ,MASAKI ,P.O.Box 542797,718988530,masaki @tag.or.tz,1,2019-01-01,12:26:00,19/05/2015 12:26
324,44,16,MSONGOLA ,MSONGOLA ,P.O.Box 542799,718988532,msongola @tag.or.tz,1,2019-01-01,12:27:00,19/05/2015 12:27
325,44,17,MZENGA ,MZENGA ,P.O.Box 542801,718988534,mzenga @tag.or.tz,1,2019-01-01,12:32:00,19/05/2015 12:32
326,44,18,PUGU ,PUGU ,P.O.Box 542803,718988536,pugu @tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
327,44,19,TABATA ,TABATA ,P.O.Box 542805,718988538,tabata @tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
328,44,20,UKONGA ,UKONGA ,P.O.Box 542807,718988540,ukonga @tag.or.tz,1,2019-01-01,12:34:00,19/05/2015 12:34
329,45,2,KIBITI ,KIBITI ,P.O.Box 542809,718988542,kibiti @tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
330,45,3,MAFIA ,MAFIA ,P.O.Box 542811,718988544,mafia @tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
331,45,4,MBAGALA ,MBAGALA ,P.O.Box 542813,718988546,mbagala @tag.or.tz,1,2019-01-01,12:36:00,19/05/2015 12:36
332,45,5,MKURANGA ,MKURANGA ,P.O.Box 542815,718988548,mkuranga @tag.or.tz,1,2019-01-01,12:37:00,19/05/2015 12:37
333,45,6,RUFIJI ,RUFIJI ,P.O.Box 542817,718988550,rufiji @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
334,45,7,TEMEKE  DSM,TEMEKE  DSM,P.O.Box 542819,718988552,temeke  dsm@tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
335,45,1,VIKINDU ,VIKINDU ,P.O.Box 542821,718988554,vikindu @tag.or.tz,1,2019-01-01,11:12:00,19/05/2015 10:14
336,46,1,LULINDI ,LULINDI ,P.O.Box 542823,718988556,lulindi @tag.or.tz,1,2019-01-01,18:07:00,19/05/2012 18:07
337,46,2,MASASI ,MASASI ,P.O.Box 542825,718988558,masasi @tag.or.tz,1,2019-01-01,10:15:00,19/05/2015 10:15
338,46,3,MASAI KASKAZINI,MASAI KASKAZINI,P.O.Box 542827,718988560,masai kaskazini@tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
339,46,4,NANYUMBU ,NANYUMBU ,P.O.Box 542829,718988562,nanyumbu @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
340,46,5,NDANDA ,NDANDA ,P.O.Box 542831,718988564,ndanda @tag.or.tz,1,2019-01-01,10:17:00,19/05/2015 10:17
341,46,6,NEWALA ,NEWALA ,P.O.Box 542833,718988566,newala @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
342,47,1,MTWARA MANISPAA/MIKINDANI,MTWARA MANISPAA/MIKINDANI,P.O.Box 542835,718988568,mtwara manispaa/mikindani@tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
343,47,2,MTWARA VIJIJINI KASKAZINI,MTWARA VIJIJINI KASKAZINI,P.O.Box 542837,718988570,mtwara vijijini kaskazini@tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
344,47,3,MTWARA VIJINI KUSINI,MTWARA VIJINI KUSINI,P.O.Box 542839,718988572,mtwara vijini kusini@tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
345,47,4,TANDAHIMBAKASKAZINI,TANDAHIMBAKASKAZINI,P.O.Box 542841,718988574,tandahimbakaskazini@tag.or.tz,1,2019-01-01,12:01:00,19/05/2015 12:01
346,47,5,TANDAHIMBA KUSINI ,TANDAHIMBA KUSINI ,P.O.Box 542843,718988576,tandahimba kusini @tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
347,48,1,CHALINZE,CHALINZE,P.O.Box 542845,718988578,chalinze@tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
348,48,2,KIBAHA KASKAZINI,KIBAHA KASKAZINI,P.O.Box 542847,718988580,kibaha kaskazini@tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
349,48,3,KIBAHA KUSINI,KIBAHA KUSINI,P.O.Box 542849,718988582,kibaha kusini@tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
350,48,4,KIBAMBA KASKAZINI,KIBAMBA KASKAZINI,P.O.Box 542851,718988584,kibamba kaskazini@tag.or.tz,1,2019-01-01,12:04:00,19/05/2015 12:04
351,48,6,KIBAMBA KUSINI,KIBAMBA KUSINI,P.O.Box 542853,718988586,kibamba kusini@tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
